Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
"    Worked less than full-time, year-round in the past 12 months (2021)","14,198,914","4,530,396",31.9%,"165,492","67,174",40.6%,"43,041","10,542",24.5%,"313,582","98,735",31.5%,"102,775","43,249",42.1%,"1,646,771","448,959",27.3%,"319,150","95,896",30.0%,"153,550","44,794",29.2%,"40,242","12,234",30.4%,"49,034","14,111",28.8%,"869,785","273,477",31.4%,"382,397","135,307",35.4%,"65,448","19,107",29.2%,"86,364","29,260",33.9%,"520,135","160,203",30.8%,"302,146","105,671",35.0%,"161,303","64,387",39.9%,"129,406","53,836",41.6%,"191,629","69,860",36.5%,"177,323","73,507",41.5%,"71,256","16,013",22.5%,"219,766","59,804",27.2%,"335,557","87,711",26.1%,"507,694","155,685",30.7%,"325,960","98,246",30.1%,"86,885","32,715",37.7%,"273,194","101,668",37.2%,"71,057","24,560",34.6%,"94,245","35,654",37.8%,"163,549","43,940",26.9%,"57,334","13,881",24.2%,"307,056","79,480",25.9%,"92,960","33,816",36.4%,"938,019","250,635",26.7%,"437,991","156,081",35.6%,"51,214","20,670",40.4%,"545,902","183,875",33.7%,"159,842","65,566",41.0%,"274,588","88,341",32.2%,"537,410","159,723",29.7%,"55,037","18,172",33.0%,"196,477","75,113",38.2%,"46,883","18,812",40.1%,"277,941","96,811",34.8%,"1,057,085","370,379",35.0%,"132,258","49,820",37.7%,"39,877","13,187",33.1%,"324,043","109,440",33.8%,"405,825","105,567",26.0%,"68,635","31,048",45.2%,"290,877","101,389",34.9%,"32,924","12,285",37.3%,"94,597","61,752",65.3%
    Did not work (2021),"22,794,007","10,051,544",44.1%,"402,800","188,508",46.8%,"42,886","18,126",42.3%,"504,104","210,790",41.8%,"238,256","116,008",48.7%,"2,400,532","1,184,484",49.3%,"327,217","135,790",41.5%,"265,503","103,672",39.0%,"76,615","28,044",36.6%,"57,968","30,180",52.1%,"1,717,657","731,112",42.6%,"622,491","284,811",45.8%,"94,723","44,002",46.5%,"117,814","44,843",38.1%,"888,399","377,465",42.5%,"464,912","194,914",41.9%,"221,320","86,597",39.1%,"190,217","79,396",41.7%,"347,764","172,026",49.5%,"354,318","185,573",52.4%,"125,787","55,368",44.0%,"371,501","154,392",41.6%,"510,568","217,807",42.7%,"807,658","324,770",40.2%,"369,409","141,572",38.3%,"235,361","115,959",49.3%,"451,006","194,985",43.2%,"81,281","31,300",38.5%,"123,119","50,156",40.7%,"241,045","105,657",43.8%,"87,458","31,276",35.8%,"573,538","232,957",40.6%,"178,213","81,084",45.5%,"1,583,011","735,773",46.5%,"732,218","325,767",44.5%,"46,304","17,963",38.8%,"939,395","399,372",42.5%,"280,354","126,137",45.0%,"352,309","154,212",43.8%,"1,028,415","424,084",41.2%,"87,892","37,655",42.8%,"377,868","165,086",43.7%,"55,910","19,711",35.3%,"503,077","231,594",46.0%,"1,443,203","693,422",48.0%,"128,597","59,087",45.9%,"55,309","20,581",37.2%,"534,637","216,370",40.5%,"518,133","215,602",41.6%,"162,517","75,595",46.5%,"435,534","167,029",38.4%,"37,884","12,880",34.0%,"357,094","255,485",71.5%
    Population in housing units for whom poverty status is determined (2021),"323,124,199","40,670,862",12.6%,"4,910,699","785,695",16.0%,"704,390","72,878",10.3%,"7,106,057","895,234",12.6%,"2,938,773","476,459",16.2%,"38,296,434","4,620,298",12.1%,"5,684,953","545,877",9.6%,"3,490,637","343,851",9.9%,"976,614","111,804",11.4%,"630,144","99,202",15.7%,"21,306,983","2,761,905",13.0%,"10,513,371","1,464,249",13.9%,"1,393,122","149,814",10.8%,"1,865,056","203,671",10.9%,"12,346,428","1,474,338",11.9%,"6,595,119","791,966",12.0%,"3,090,899","336,524",10.9%,"2,849,239","329,650",11.6%,"4,367,259","712,411",16.3%,"4,490,706","874,205",19.5%,"1,332,596","150,440",11.3%,"6,008,726","608,650",10.1%,"6,720,125","681,497",10.1%,"9,809,358","1,260,642",12.9%,"5,563,163","502,782",9.0%,"2,856,244","552,082",19.3%,"5,983,849","749,551",12.5%,"1,072,593","124,242",11.6%,"1,909,458","202,108",10.6%,"3,097,754","433,401",14.0%,"1,345,792","95,142",7.1%,"9,064,168","913,453",10.1%,"2,070,083","378,686",18.3%,"19,206,395","2,602,745",13.6%,"10,262,298","1,362,134",13.3%,"748,815","80,504",10.8%,"11,439,804","1,515,493",13.2%,"3,868,966","601,495",15.5%,"4,142,887","490,406",11.8%,"12,521,934","1,479,204",11.8%,"1,048,674","117,966",11.2%,"5,055,682","735,510",14.5%,"859,779","101,423",11.8%,"6,798,300","917,585",13.5%,"28,888,250","4,084,912",14.1%,"3,283,333","276,721",8.4%,"618,677","61,659",10.0%,"8,386,976","844,406",10.1%,"7,569,749","734,108",9.7%,"1,731,449","289,878",16.7%,"5,737,590","608,460",10.6%,"563,849","63,546",11.3%,"3,224,869","1,301,154",40.3%
Population for whom poverty status is determined (2022),"325,521,470","40,951,625",12.6%,"4,929,195","800,395",16.2%,"715,594","78,608",11.0%,"7,210,801","897,852",12.5%,"2,958,098","496,311",16.8%,"38,307,718","4,670,324",12.2%,"5,727,379","540,517",9.4%,"3,514,107","345,695",9.8%,"995,107","93,285",9.4%,"642,853","85,676",13.3%,"21,764,366","2,762,679",12.7%,"10,655,140","1,348,344",12.7%,"1,402,729","142,378",10.2%,"1,889,431","202,517",10.7%,"12,306,019","1,469,643",11.9%,"6,645,013","834,550",12.6%,"3,103,543","339,867",11.0%,"2,852,901","342,670",12.0%,"4,389,492","722,865",16.5%,"4,467,616","829,565",18.6%,"1,347,498","145,161",10.8%,"6,042,925","581,748",9.6%,"6,763,338","700,156",10.4%,"9,828,430","1,315,899",13.4%,"5,599,770","540,079",9.6%,"2,841,445","544,104",19.1%,"6,005,542","791,030",13.2%,"1,098,173","133,233",12.1%,"1,920,017","215,838",11.2%,"3,139,138","390,848",12.5%,"1,359,894","98,057",7.2%,"9,103,154","882,045",9.7%,"2,072,033","364,725",17.6%,"19,185,089","2,734,819",14.3%,"10,417,219","1,329,157",12.8%,"751,246","86,192",11.5%,"11,468,520","1,540,922",13.4%,"3,897,556","610,254",15.7%,"4,161,550","503,935",12.1%,"12,553,587","1,483,365",11.8%,"1,052,644","113,878",10.8%,"5,140,248","717,348",14.0%,"879,804","109,889",12.5%,"6,897,298","915,683",13.3%,"29,416,679","4,113,641",14.0%,"3,329,192","273,052",8.2%,"624,770","65,162",10.4%,"8,442,437","891,390",10.6%,"7,651,971","763,469",10.0%,"1,721,567","308,825",17.9%,"5,763,986","617,037",10.7%,"567,648","66,943",11.8%,"3,195,054","1,333,111",41.7%
    AGE (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 18 years (2022),"71,241,523","11,582,950",16.3%,"1,092,602","240,009",22.0%,"171,926","23,913",13.9%,"1,564,139","246,869",15.8%,"683,125","150,695",22.1%,"8,357,454","1,278,372",15.3%,"1,199,629","133,463",11.1%,"720,822","89,976",12.5%,"205,476","26,487",12.9%,"123,271","20,682",16.8%,"4,216,922","722,996",17.1%,"2,474,049","411,089",16.6%,"289,643","36,568",12.6%,"458,785","60,862",13.3%,"2,677,993","424,983",15.9%,"1,543,689","242,641",15.7%,"708,063","86,464",12.2%,"680,103","93,730",13.8%,"987,432","206,551",20.9%,"1,048,439","257,479",24.6%,"239,183","27,867",11.7%,"1,331,224","154,512",11.6%,"1,316,151","151,751",11.5%,"2,075,647","377,915",18.2%,"1,269,593","138,652",10.9%,"664,554","175,179",26.4%,"1,332,787","225,182",16.9%,"230,411","30,937",13.4%,"466,450","64,271",13.8%,"679,102","109,410",16.1%,"247,382","16,987",6.9%,"1,969,892","253,875",12.9%,"447,383","105,030",23.5%,"3,904,005","735,742",18.8%,"2,262,741","388,142",17.2%,"177,917","22,552",12.7%,"2,520,002","446,159",17.7%,"936,554","184,904",19.7%,"815,660","112,447",13.8%,"2,582,015","393,542",15.2%,"200,126","23,487",11.7%,"1,098,823","211,202",19.2%,"214,024","32,473",15.2%,"1,510,148","266,105",17.6%,"7,363,950","1,411,535",19.2%,"919,689","77,607",8.4%,"112,373","13,062",11.6%,"1,837,678","233,581",12.7%,"1,615,031","184,816",11.4%,"345,552","86,400",25.0%,"1,224,571","155,879",12.7%,"127,343","17,918",14.1%,"515,527","297,133",57.6%
            Under 5 years (2022),"18,053,650","3,141,107",17.4%,"279,228","71,573",25.6%,"45,519","9,199",20.2%,"386,145","68,494",17.7%,"172,454","45,650",26.5%,"2,078,213","320,754",15.4%,"302,660","33,128",10.9%,"175,834","23,943",13.6%,"53,066","7,072",13.3%,"38,986","5,729",14.7%,"1,078,953","210,146",19.5%,"613,218","110,286",18.0%,"76,249","9,405",12.3%,"109,841","15,600",14.2%,"662,801","111,480",16.8%,"391,457","71,339",18.2%,"178,664","24,655",13.8%,"174,200","26,764",15.4%,"255,405","58,904",23.1%,"267,544","67,924",25.4%,"59,786","6,750",11.3%,"345,149","39,601",11.5%,"336,956","36,145",10.7%,"529,952","105,043",19.8%,"323,040","37,251",11.5%,"166,336","42,197",25.4%,"341,040","64,640",19.0%,"56,734","7,363",13.0%,"118,664","17,323",14.6%,"170,350","29,294",17.2%,"61,587","5,192",8.4%,"506,955","68,408",13.5%,"103,127","23,304",22.6%,"1,032,224","191,446",18.5%,"577,230","105,845",18.3%,"46,836","5,553",11.9%,"651,818","123,512",18.9%,"234,454","50,620",21.6%,"194,630","29,443",15.1%,"656,963","106,428",16.2%,"51,179","5,117",10.0%,"275,616","56,398",20.5%,"56,692","10,086",17.8%,"395,298","78,962",20.0%,"1,858,916","389,244",20.9%,"224,357","23,266",10.4%,"27,634","4,312",15.6%,"475,521","68,691",14.4%,"413,211","44,774",10.8%,"85,472","25,753",30.1%,"305,694","42,078",13.8%,"29,792","5,023",16.9%,"99,058","61,779",62.4%
            5 to 17 years (2022),"53,187,873","8,441,843",15.9%,"813,374","168,436",20.7%,"126,407","14,714",11.6%,"1,177,994","178,375",15.1%,"510,671","105,045",20.6%,"6,279,241","957,618",15.3%,"896,969","100,335",11.2%,"544,988","66,033",12.1%,"152,410","19,415",12.7%,"84,285","14,953",17.7%,"3,137,969","512,850",16.3%,"1,860,831","300,803",16.2%,"213,394","27,163",12.7%,"348,944","45,262",13.0%,"2,015,192","313,503",15.6%,"1,152,232","171,302",14.9%,"529,399","61,809",11.7%,"505,903","66,966",13.2%,"732,027","147,647",20.2%,"780,895","189,555",24.3%,"179,397","21,117",11.8%,"986,075","114,911",11.7%,"979,195","115,606",11.8%,"1,545,695","272,872",17.7%,"946,553","101,401",10.7%,"498,218","132,982",26.7%,"991,747","160,542",16.2%,"173,677","23,574",13.6%,"347,786","46,948",13.5%,"508,752","80,116",15.7%,"185,795","11,795",6.3%,"1,462,937","185,467",12.7%,"344,256","81,726",23.7%,"2,871,781","544,296",19.0%,"1,685,511","282,297",16.7%,"131,081","16,999",13.0%,"1,868,184","322,647",17.3%,"702,100","134,284",19.1%,"621,030","83,004",13.4%,"1,925,052","287,114",14.9%,"148,947","18,370",12.3%,"823,207","154,804",18.8%,"157,332","22,387",14.2%,"1,114,850","187,143",16.8%,"5,505,034","1,022,291",18.6%,"695,332","54,341",7.8%,"84,739","8,750",10.3%,"1,362,157","164,890",12.1%,"1,201,820","140,042",11.7%,"260,080","60,647",23.3%,"918,877","113,801",12.4%,"97,551","12,895",13.2%,"416,469","235,354",56.5%
            Related children of householder under 18 years (2022),"70,950,290","11,317,832",16.0%,"1,088,476","236,766",21.8%,"171,093","23,098",13.5%,"1,557,760","240,688",15.5%,"679,819","147,395",21.7%,"8,324,700","1,248,147",15.0%,"1,195,338","129,632",10.8%,"717,578","86,776",12.1%,"204,999","26,203",12.8%,"123,271","20,682",16.8%,"4,197,463","705,071",16.8%,"2,464,664","402,676",16.3%,"288,995","36,006",12.5%,"456,618","58,695",12.9%,"2,667,445","414,933",15.6%,"1,536,870","235,991",15.4%,"705,066","83,711",11.9%,"676,831","90,908",13.4%,"982,320","202,069",20.6%,"1,045,690","255,159",24.4%,"237,587","26,315",11.1%,"1,326,724","150,097",11.3%,"1,312,609","148,322",11.3%,"2,064,482","367,918",17.8%,"1,263,704","133,237",10.5%,"663,080","173,892",26.2%,"1,324,065","217,347",16.4%,"228,238","29,150",12.8%,"464,186","62,103",13.4%,"676,058","106,748",15.8%,"245,987","15,592",6.3%,"1,964,713","248,819",12.7%,"445,855","103,692",23.3%,"3,885,582","719,011",18.5%,"2,253,972","380,121",16.9%,"177,218","21,938",12.4%,"2,508,109","435,016",17.3%,"932,751","181,639",19.5%,"810,203","107,593",13.3%,"2,572,925","385,191",15.0%,"199,134","22,495",11.3%,"1,094,407","207,311",18.9%,"212,800","31,338",14.7%,"1,503,836","260,818",17.3%,"7,339,559","1,391,502",19.0%,"917,105","75,167",8.2%,"111,678","12,397",11.1%,"1,831,568","227,807",12.4%,"1,607,959","177,861",11.1%,"343,547","84,659",24.6%,"1,218,667","150,569",12.4%,"126,986","17,561",13.8%,"513,805","295,517",57.5%
        18 to 64 years (2022),"197,858,864","23,192,117",11.7%,"2,946,695","453,983",15.4%,"443,683","44,479",10.0%,"4,284,464","509,799",11.9%,"1,751,841","278,787",15.9%,"23,895,443","2,679,892",11.2%,"3,631,182","334,967",9.2%,"2,148,415","199,278",9.3%,"581,301","50,745",8.7%,"434,283","51,423",11.8%,"12,856,412","1,477,225",11.5%,"6,574,066","759,649",11.6%,"823,388","80,813",9.8%,"1,108,991","114,039",10.3%,"7,527,582","830,755",11.0%,"3,984,491","484,922",12.2%,"1,832,607","205,483",11.2%,"1,684,553","202,897",12.0%,"2,633,519","415,379",15.8%,"2,660,635","459,756",17.3%,"805,657","88,857",11.0%,"3,694,182","326,731",8.8%,"4,219,305","410,644",9.7%,"5,914,670","758,595",12.8%,"3,368,442","314,526",9.3%,"1,680,035","295,698",17.6%,"3,595,859","444,177",12.4%,"647,048","74,635",11.5%,"1,129,104","121,831",10.8%,"1,926,041","223,561",11.6%,"839,544","59,377",7.1%,"5,556,760","470,029",8.5%,"1,224,528","207,796",17.0%,"11,807,712","1,541,232",13.1%,"6,329,840","742,843",11.7%,"449,540","51,429",11.4%,"6,854,916","879,306",12.8%,"2,318,800","353,497",15.2%,"2,542,460","312,339",12.3%,"7,514,721","842,119",11.2%,"653,574","65,824",10.1%,"3,051,330","402,549",13.2%,"507,519","60,179",11.9%,"4,197,902","519,031",12.4%,"18,106,116","2,216,792",12.2%,"2,010,778","165,739",8.2%,"376,015","41,352",11.0%,"5,175,840","532,805",10.3%,"4,750,610","459,268",9.7%,"1,009,071","178,196",17.7%,"3,462,525","358,199",10.3%,"334,869","38,690",11.6%,"1,931,657","735,046",38.1%
            18 to 34 years (2022),"72,582,859","10,430,102",14.4%,"1,068,888","206,363",19.3%,"174,046","19,819",11.4%,"1,670,901","235,198",14.1%,"639,702","118,706",18.6%,"9,061,703","1,173,317",12.9%,"1,399,420","163,269",11.7%,"728,400","83,443",11.5%,"203,626","18,128",8.9%,"189,131","25,512",13.5%,"4,427,096","618,209",14.0%,"2,426,856","352,472",14.5%,"287,604","31,068",10.8%,"416,809","53,489",12.8%,"2,741,807","359,855",13.1%,"1,478,725","238,732",16.1%,"672,948","110,931",16.5%,"637,786","108,311",17.0%,"949,165","177,688",18.7%,"972,081","202,171",20.8%,"257,209","34,419",13.4%,"1,274,490","136,645",10.7%,"1,515,212","178,514",11.8%,"2,164,261","344,431",15.9%,"1,203,808","148,527",12.3%,"604,832","123,607",20.4%,"1,310,815","203,163",15.5%,"238,169","36,679",15.4%,"420,453","63,105",15.0%,"708,384","92,738",13.1%,"282,853","23,221",8.2%,"1,900,325","177,211",9.3%,"461,402","91,744",19.9%,"4,296,043","644,511",15.0%,"2,286,014","333,911",14.6%,"179,925","29,232",16.2%,"2,481,603","406,385",16.4%,"881,623","166,351",18.9%,"926,503","134,358",14.5%,"2,633,766","371,377",14.1%,"235,987","28,324",12.0%,"1,081,780","170,393",15.8%,"183,073","30,670",16.8%,"1,540,000","230,139",14.9%,"7,037,534","1,087,679",15.5%,"874,397","101,494",11.6%,"126,833","19,485",15.4%,"1,856,078","251,087",13.5%,"1,782,747","201,414",11.3%,"343,004","78,110",22.8%,"1,229,489","177,228",14.4%,"117,553","17,269",14.7%,"696,669","283,415",40.7%
            35 to 64 years (2022),"125,276,005","12,762,015",10.2%,"1,877,807","247,620",13.2%,"269,637","24,660",9.1%,"2,613,563","274,601",10.5%,"1,112,139","160,081",14.4%,"14,833,740","1,506,575",10.2%,"2,231,762","171,698",7.7%,"1,420,015","115,835",8.2%,"377,675","32,617",8.6%,"245,152","25,911",10.6%,"8,429,316","859,016",10.2%,"4,147,210","407,177",9.8%,"535,784","49,745",9.3%,"692,182","60,550",8.7%,"4,785,775","470,900",9.8%,"2,505,766","246,190",9.8%,"1,159,659","94,552",8.2%,"1,046,767","94,586",9.0%,"1,684,354","237,691",14.1%,"1,688,554","257,585",15.3%,"548,448","54,438",9.9%,"2,419,692","190,086",7.9%,"2,704,093","232,130",8.6%,"3,750,409","414,164",11.0%,"2,164,634","165,999",7.7%,"1,075,203","172,091",16.0%,"2,285,044","241,014",10.5%,"408,879","37,956",9.3%,"708,651","58,726",8.3%,"1,217,657","130,823",10.7%,"556,691","36,156",6.5%,"3,656,435","292,818",8.0%,"763,126","116,052",15.2%,"7,511,669","896,721",11.9%,"4,043,826","408,932",10.1%,"269,615","22,197",8.2%,"4,373,313","472,921",10.8%,"1,437,177","187,146",13.0%,"1,615,957","177,981",11.0%,"4,880,955","470,742",9.6%,"417,587","37,500",9.0%,"1,969,550","232,156",11.8%,"324,446","29,509",9.1%,"2,657,902","288,892",10.9%,"11,068,582","1,129,113",10.2%,"1,136,381","64,245",5.7%,"249,182","21,867",8.8%,"3,319,762","281,718",8.5%,"2,967,863","257,854",8.7%,"666,067","100,086",15.0%,"2,233,036","180,971",8.1%,"217,316","21,421",9.9%,"1,234,988","451,631",36.6%
        60 years and over (2022),"77,793,941","8,675,955",11.2%,"1,227,189","155,278",12.7%,"143,175","15,468",10.8%,"1,814,396","194,974",10.7%,"719,646","97,557",13.6%,"8,369,394","984,845",11.8%,"1,253,601","105,978",8.5%,"900,916","78,151",8.7%,"285,804","24,236",8.5%,"117,835","20,641",17.5%,"6,196,400","745,203",12.0%,"2,256,389","251,026",11.1%,"380,676","34,919",9.2%,"436,981","39,897",9.1%,"2,900,637","301,796",10.4%,"1,556,324","157,865",10.1%,"775,290","70,808",9.1%,"670,894","64,596",9.6%,"1,072,184","147,844",13.8%,"1,071,369","166,436",15.5%,"412,970","40,233",9.7%,"1,431,322","136,954",9.6%,"1,703,656","186,219",10.9%,"2,548,170","265,386",10.4%,"1,352,399","121,681",9.0%,"691,960","108,538",15.7%,"1,500,933","173,838",11.6%,"298,582","36,796",12.3%,"451,624","40,598",9.0%,"724,701","79,415",11.0%,"385,681","29,776",7.7%,"2,203,910","212,004",9.6%,"534,894","73,337",13.7%,"4,779,593","621,362",13.0%,"2,517,308","284,210",11.3%,"170,923","17,271",10.1%,"2,890,630","309,252",10.7%,"889,951","105,220",11.8%,"1,071,215","117,024",10.9%,"3,371,340","348,476",10.3%,"278,429","32,714",11.7%,"1,353,888","151,287",11.2%,"221,594","23,513",10.6%,"1,646,350","189,466",11.5%,"5,589,034","682,643",12.2%,"558,749","41,404",7.4%,"189,356","16,335",8.6%,"1,977,375","182,442",9.2%,"1,764,116","170,265",9.7%,"491,912","62,751",12.8%,"1,498,694","144,000",9.6%,"143,582","14,027",9.8%,"970,209","388,172",40.0%
        65 years and over (2022),"56,421,083","6,176,558",10.9%,"889,898","106,403",12.0%,"99,985","10,216",10.2%,"1,362,198","141,184",10.4%,"523,132","66,829",12.8%,"6,054,821","712,060",11.8%,"896,568","72,087",8.0%,"644,870","56,441",8.8%,"208,330","16,053",7.7%,"85,299","13,571",15.9%,"4,691,032","562,458",12.0%,"1,607,025","177,606",11.1%,"289,698","24,997",8.6%,"321,655","27,616",8.6%,"2,100,444","213,905",10.2%,"1,116,833","106,987",9.6%,"562,873","47,920",8.5%,"488,245","46,043",9.4%,"768,541","100,935",13.1%,"758,542","112,330",14.8%,"302,658","28,437",9.4%,"1,017,519","100,505",9.9%,"1,227,882","137,761",11.2%,"1,838,113","179,389",9.8%,"961,735","86,901",9.0%,"496,856","73,227",14.7%,"1,076,896","121,671",11.3%,"220,714","27,661",12.5%,"324,463","29,736",9.2%,"533,995","57,877",10.8%,"272,968","21,693",7.9%,"1,576,502","158,141",10.0%,"400,122","51,899",13.0%,"3,473,372","457,845",13.2%,"1,824,638","198,172",10.9%,"123,789","12,211",9.9%,"2,093,602","215,457",10.3%,"642,202","71,853",11.2%,"803,430","79,149",9.9%,"2,456,851","247,704",10.1%,"198,944","24,567",12.3%,"990,095","103,597",10.5%,"158,261","17,237",10.9%,"1,189,248","130,547",11.0%,"3,946,613","485,314",12.3%,"398,725","29,706",7.5%,"136,382","10,748",7.9%,"1,428,919","125,004",8.7%,"1,286,330","119,385",9.3%,"366,944","44,229",12.1%,"1,076,890","102,959",9.6%,"105,436","10,335",9.8%,"747,870","300,932",40.2%
    SEX (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male (2022),"160,772,028","18,281,641",11.4%,"2,383,686","346,779",14.5%,"373,213","38,292",10.3%,"3,583,600","410,809",11.5%,"1,453,149","217,276",15.0%,"19,102,598","2,140,110",11.2%,"2,890,466","252,245",8.7%,"1,722,473","147,524",8.6%,"482,910","42,228",8.7%,"306,351","38,164",12.5%,"10,683,589","1,233,304",11.5%,"5,162,167","588,034",11.4%,"699,232","66,452",9.5%,"948,085","94,512",10.0%,"6,067,298","648,430",10.7%,"3,290,366","374,614",11.4%,"1,557,435","152,184",9.8%,"1,423,434","158,006",11.1%,"2,160,994","319,718",14.8%,"2,170,129","359,130",16.5%,"665,167","65,339",9.8%,"2,935,998","250,762",8.5%,"3,314,931","315,997",9.5%,"4,862,688","589,204",12.1%,"2,810,921","245,967",8.8%,"1,365,407","239,134",17.5%,"2,951,831","353,342",12.0%,"553,519","63,054",11.4%,"961,506","95,481",9.9%,"1,573,398","173,103",11.0%,"678,903","42,481",6.3%,"4,473,003","391,300",8.7%,"1,020,142","162,684",15.9%,"9,375,675","1,242,009",13.2%,"5,062,216","580,369",11.5%,"383,826","38,456",10.0%,"5,653,513","673,690",11.9%,"1,928,440","273,186",14.2%,"2,078,314","226,803",10.9%,"6,179,670","652,419",10.6%,"514,527","50,658",9.8%,"2,481,862","313,217",12.6%,"445,356","49,500",11.1%,"3,374,987","399,241",11.8%,"14,628,253","1,825,732",12.5%,"1,687,939","123,816",7.3%,"311,514","29,341",9.4%,"4,156,778","391,111",9.4%,"3,851,880","349,071",9.1%,"848,481","140,561",16.6%,"2,890,242","276,464",9.6%,"289,966","30,338",10.5%,"1,509,567","594,644",39.4%
        Female (2022),"164,749,442","22,669,984",13.8%,"2,545,509","453,616",17.8%,"342,381","40,316",11.8%,"3,627,201","487,043",13.4%,"1,504,949","279,035",18.5%,"19,205,120","2,530,214",13.2%,"2,836,913","288,272",10.2%,"1,791,634","198,171",11.1%,"512,197","51,057",10.0%,"336,502","47,512",14.1%,"11,080,777","1,529,375",13.8%,"5,492,973","760,310",13.8%,"703,497","75,926",10.8%,"941,346","108,005",11.5%,"6,238,721","821,213",13.2%,"3,354,647","459,936",13.7%,"1,546,108","187,683",12.1%,"1,429,467","184,664",12.9%,"2,228,498","403,147",18.1%,"2,297,487","470,435",20.5%,"682,331","79,822",11.7%,"3,106,927","330,986",10.7%,"3,448,407","384,159",11.1%,"4,965,742","726,695",14.6%,"2,788,849","294,112",10.5%,"1,476,038","304,970",20.7%,"3,053,711","437,688",14.3%,"544,654","70,179",12.9%,"958,511","120,357",12.6%,"1,565,740","217,745",13.9%,"680,991","55,576",8.2%,"4,630,151","490,745",10.6%,"1,051,891","202,041",19.2%,"9,809,414","1,492,810",15.2%,"5,355,003","748,788",14.0%,"367,420","47,736",13.0%,"5,815,007","867,232",14.9%,"1,969,116","337,068",17.1%,"2,083,236","277,132",13.3%,"6,373,917","830,946",13.0%,"538,117","63,220",11.7%,"2,658,386","404,131",15.2%,"434,448","60,389",13.9%,"3,522,311","516,442",14.7%,"14,788,426","2,287,909",15.5%,"1,641,253","149,236",9.1%,"313,256","35,821",11.4%,"4,285,659","500,279",11.7%,"3,800,091","414,398",10.9%,"873,086","168,264",19.3%,"2,873,744","340,573",11.9%,"277,682","36,605",13.2%,"1,685,487","738,467",43.8%
    RACE AND HISPANIC OR LATINO ORIGIN (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
